Date;Effectif SNCF;Commentaires
1855;43700.0;
1861;86300.0;
1864;102300.0;
1869;137600.0;
1871;141000.0;
1876;172900.0;
1880;203400.0;
1883;239600.0;
1884;237800.0;
1886;223800.0;
1892;245000.0;
1895;249700.0;
1896;248600.0;
1901;282800.0;
1907;308000.0;
1909;326500.0;
1913;355600.0;
1914;;
1916;;
1917;;
1919;;
1920;;
1938;514700.0;non compris les agents du cadre permanent mobilisés
1939;449800.0;non compris les agents du cadre permanent mobilisés
1943;411000.0;
1945;467200.0;
1947;480700.0;
1949;468700.0;
1953;402300.0;
1961;349800.0;
1963;356400.0;
1966;348900.0;
1974;284560.0;
1975;281680.0;
1976;274080.0;
1979;258900.0;
1982;252421.0;
1983;252200.0;
1990;206930.0;inclusion des contractuels à temps partiel, décomptés en équivalents temps plein (soit 4 848 agents équivalent temps plein en 1990
1993;192088.0;
1996;177890.0;
1997;175010.0;
2008;158378.0;
2011;150454.0;
2013;150070.0;
2020;136388.0;
1853;31600.0;
1856;;
1858;;
1862;93700.0;
1867;121400.0;
1870;127800.0;
1873;158900.0;
1877;178200.0;
1882;237000.0;
1890;230500.0;
1905;274600.0;
1906;290700.0;
1910;335000.0;
1915;;
1918;;
1927;507300.0;
1928;496900.0;
1929;502400.0;
1931;491500.0;
1935;430200.0;non compris les agents du cadre permanent mobilisés
1936;428400.0;non compris les agents du cadre permanent mobilisés
1941;412600.0;
1942;407100.0;
1946;491900.0;
1956;365400.0;
1957;364700.0;
1958;363600.0;
1959;359000.0;
1960;354200.0;
1969;312600.0;
1971;296400.0;
1981;248497.0;
1986;233404.0;
1987;222426.0;
1988;213214.0;
1995;181114.0;
2007;161213.0;l'effectif disponible remplace l'effectif de gestion
2012;150652.0;
1860;77600.0;
1863;94900.0;
1872;148400.0;
1874;161100.0;
1885;231000.0;
1891;239600.0;
1894;251400.0;
1900;283300.0;
1904;271100.0;
1911;345600.0;
1922;511000.0;
1933;454400.0;
1954;388200.0;
1968;323100.0;
1970;303000.0;y compris les services de messageries et de transports routiers
1973;285400.0;
1977;268330.0;
1978;263010.0;
1985;242091.0;
1989;206443.0;
1991;203488.0;
1992;198078.0;
2000;176753.0;filialisation du SERNAM
2001;178758.0;
2015;147613.0;hors RFF du 1er janvier au 30 juin 2015
2019;138864.0;
1851;27900.0;
1852;;
1854;;
1866;113000.0;
1878;181700.0;
1888;222800.0;
1889;227700.0;
1898;256000.0;
1908;320700.0;
1921;;
1924;499200.0;
1925;506500.0;
1937;506100.0;non compris les agents du cadre permanent mobilisés
1940;401700.0;non compris les agents du cadre permanent mobilisés et  le personnel des lignes d'Alsace et de Lorraine
1944;419500.0;
1948;477300.0;
1951;428800.0;
1952;415500.0;
1965;359300.0;
1967;336700.0;
1984;248349.0;
1994;185690.0;
1998;175670.0;l'effectif de gestion (suivi en comptabilité) remplace l'effectif à disposition
1999;175619.0;
2003;175211.0;
2006;164404.0;
2009;156434.0;
2010;152387.0;
2014;148931.0;
2016;146623.0;
2018;142240.0;
1857;;
1859;75700.0;
1865;107600.0;
1868;128500.0;
1875;166700.0;
1879;192600.0;
1881;222800.0;
1887;222400.0;
1893;253600.0;
1897;250900.0;
1899;265400.0;
1902;279400.0;
1903;277000.0;
1912;353100.0;
1923;498500.0;
1926;507100.0;
1930;509000.0;
1932;468400.0;
1934;440900.0;
1950;450600.0;
1955;373800.0;
1962;348500.0;
1964;360200.0;
1972;289300.0;
1980;254400.0;
2002;178598.0;
2004;170709.0;
2005;166633.0;
2017;144661.0;
